,name,salary,address,gender,email,birthdaydate,university,GPA,test,IsMarried,partition
29707,qossay,3828,rawabi,Female,ytztpvagko@asaltech.com,1993-10-17,birzeit,99,value3,False,7
29734,qossay,2081,Jerusalem,Female,fdtvypqomp@asaltech.com,1988-05-06,najah,69,value2,False,6
29752,qossay,823,rawabi,Female,uqbvjuaudj@asaltech.com,1989-06-09,birzeit,75,value1,False,9
29785,qossay,983,Jerusalem,Female,kbarqlnloe@asaltech.com,1994-12-19,birzeit,64,value1,False,9
29811,qossay,3246,amman,Female,drxhnjhyqz@asaltech.com,1981-02-21,birzeit,71,value1,True,1
29845,qossay,2325,rawabi,Female,utxjucepog@asaltech.com,1981-07-13,birzeit,96,value1,False,3
29857,qossay,4609,amman,Female,jdsghchwgr@asaltech.com,1990-01-26,najah,98,value1,True,6
29920,qossay,3535,yafa,Female,zaruhqpnnv@asaltech.com,1989-07-17,najah,70,value2,False,7
29925,qossay,2372,Bethlehem,Female,ftdpijozli@asaltech.com,1986-03-04,birzeit,62,value1,True,4
29959,qossay,4175,yafa,Female,cfdxwxllye@asaltech.com,1999-12-18,al-quds,61,value1,True,8
29986,qossay,3550,amman,Female,jecdfbknmq@asaltech.com,1999-09-20,najah,98,value2,False,0
29999,qossay,2111,Salfit,Female,ijlfcxdeen@asaltech.com,1980-06-20,birzeit,79,value1,False,0
30008,qossay,1412,amman,Female,rndyfizoee@asaltech.com,1994-03-08,al-quds,71,value3,False,8
30028,qossay,1369,amman,Female,wqewouptrl@asaltech.com,1999-03-22,al-quds,72,value1,True,2
30042,qossay,1828,Jenin ,Female,ouotafnhrb@asaltech.com,1994-12-28,al-quds,78,value3,True,8
30050,qossay,4982,Jerusalem,Female,rqhouuoagq@asaltech.com,1980-05-28,al-quds,93,value3,True,8
30092,qossay,1514,Salfit,Female,tyckuwcqmj@asaltech.com,1999-06-12,najah,70,value1,False,2
30119,qossay,2358,rawabi,Female,nnuewcivsn@asaltech.com,1985-08-07,najah,99,value1,True,7
30160,qossay,1562,rammallah,Female,fgfupjmxvi@asaltech.com,2000-01-15,najah,71,value1,True,5
30191,qossay,4184,Salfit,Female,llucswlxzn@asaltech.com,1987-01-05,najah,99,value3,True,5
30208,qossay,2251,Bethlehem,Female,iqvjyrljar@asaltech.com,1982-02-02,birzeit,73,value1,False,2
30210,qossay,2720,Jerusalem,Female,uixdooocqq@asaltech.com,1993-02-15,birzeit,60,value3,False,5
30218,qossay,3241,Salfit,Female,sipkxzcnxc@asaltech.com,1985-10-13,najah,70,value1,False,3
30223,qossay,3152,yafa,Female,oxdlnljufi@asaltech.com,1988-07-23,birzeit,98,value2,True,3
30225,qossay,4162,yafa,Female,qcfpksbhay@asaltech.com,1997-04-15,birzeit,62,value2,False,5
30245,qossay,2874,hebron,Female,mzerzixngs@asaltech.com,1994-06-14,birzeit,75,value2,True,4
30256,qossay,2253,Salfit,Female,xuamojfkyf@asaltech.com,1998-03-12,najah,99,value2,False,2
30257,qossay,3216,amman,Female,autmabmjzt@asaltech.com,1981-07-14,najah,85,value3,True,4
30270,qossay,3525,nablus,Female,yefpvrbxvw@asaltech.com,1998-01-10,birzeit,79,value3,False,0
30298,qossay,2202,Bethlehem,Female,rewovmnsiy@asaltech.com,1982-03-18,najah,61,value2,False,8
30331,qossay,2610,nablus,Female,johxtqtcgh@asaltech.com,1990-02-13,al-quds,87,value2,False,3
30351,qossay,4784,amman,Female,fmjqpvubzb@asaltech.com,1992-08-08,al-quds,97,value2,False,8
30372,qossay,2630,rawabi,Female,hqosvapyrq@asaltech.com,1981-03-26,birzeit,65,value1,True,6
30377,qossay,1466,Jenin ,Female,jeelncijlh@asaltech.com,1996-06-27,najah,86,value1,True,7
30416,qossay,1896,rammallah,Female,nnsgdpjtjx@asaltech.com,1998-06-09,najah,70,value2,True,9
30458,qossay,4321,yafa,Female,lvzdmsuzdg@asaltech.com,1990-04-21,birzeit,66,value2,True,1
30531,qossay,1028,Jerusalem,Female,glyvkulwui@asaltech.com,1994-10-19,al-quds,62,value3,False,9
30533,qossay,4317,Bethlehem,Female,krizhmmfxa@asaltech.com,1992-03-07,najah,73,value2,False,7
30566,qossay,4166,Jerusalem,Female,kkdizyuvvf@asaltech.com,1988-10-11,al-quds,83,value2,True,1
30581,qossay,4583,Bethlehem,Female,mueurelebh@asaltech.com,2000-02-18,najah,76,value3,False,8
30607,qossay,891,Jenin ,Female,dozldjbfbi@asaltech.com,1993-11-19,birzeit,86,value2,True,9
30613,qossay,3502,Jenin ,Female,wotigeohcj@asaltech.com,1986-02-01,birzeit,69,value2,False,1
30617,qossay,1253,rawabi,Female,ttdkojehfq@asaltech.com,1980-09-17,al-quds,80,value2,True,7
30669,qossay,3626,rammallah,Female,pcxmdxgulq@asaltech.com,1993-12-05,birzeit,63,value3,True,5
30673,qossay,3834,Jenin ,Female,librhshyuk@asaltech.com,1985-06-13,al-quds,78,value2,False,3
30694,qossay,4638,nablus,Female,cxaekccqxq@asaltech.com,1994-08-18,al-quds,71,value1,False,8
30695,qossay,1471,Jerusalem,Female,qfkizallpp@asaltech.com,1994-09-01,najah,97,value1,False,1
30720,qossay,904,yafa,Female,naepheehvb@asaltech.com,1994-11-26,najah,82,value1,True,6
30725,qossay,3248,Bethlehem,Female,eggcqdsxtl@asaltech.com,1997-08-08,najah,62,value2,False,8
30735,qossay,919,nablus,Female,oduyqaobcw@asaltech.com,1995-09-05,birzeit,66,value3,True,5
30750,qossay,2090,rawabi,Female,chdkpsoqxl@asaltech.com,1980-05-26,birzeit,61,value2,False,6
30753,qossay,4195,yafa,Female,cedgxefvqb@asaltech.com,1991-04-18,birzeit,74,value2,False,8
30777,qossay,3198,yafa,Female,ceeshnhxqg@asaltech.com,1983-08-09,al-quds,90,value2,True,9
30797,qossay,2518,Bethlehem,Female,rulpvlbmuh@asaltech.com,1986-12-15,birzeit,90,value3,True,5
30807,qossay,3622,rammallah,Female,tmlwiikjtx@asaltech.com,1980-10-26,najah,69,value1,True,6
30822,qossay,3030,rammallah,Female,qlmzzlvzzz@asaltech.com,1997-07-11,al-quds,77,value2,False,1
30841,qossay,4231,hebron,Female,vjrhozdbgu@asaltech.com,1998-06-15,najah,86,value2,False,5
30842,qossay,3568,Salfit,Female,fagpvmwogs@asaltech.com,1986-05-26,birzeit,61,value1,False,6
30844,qossay,2234,Salfit,Female,vhddniiszj@asaltech.com,1992-02-03,al-quds,85,value3,True,3
30860,qossay,1982,Jerusalem,Female,qldiqiwuhc@asaltech.com,1983-05-02,birzeit,94,value3,False,2
30872,qossay,1848,Salfit,Female,ircvrbamke@asaltech.com,1989-08-06,al-quds,98,value2,True,6
30876,qossay,4041,yafa,Female,lqkxpokvnv@asaltech.com,1990-04-06,najah,73,value1,True,6
30899,qossay,4768,Jenin ,Female,iypxyoahcq@asaltech.com,1983-12-19,al-quds,75,value3,False,9
30905,qossay,3312,amman,Female,ozembasazs@asaltech.com,1981-07-07,birzeit,68,value1,True,7
30922,qossay,3230,Jerusalem,Female,vbukcozkty@asaltech.com,1991-10-02,al-quds,98,value2,True,2
30945,qossay,2067,amman,Female,xqntyyyktv@asaltech.com,1993-01-17,najah,93,value3,False,7
30947,qossay,2054,amman,Female,jeicroxwnl@asaltech.com,1994-06-26,najah,87,value2,True,6
30948,qossay,1568,rammallah,Female,eiitmrmdys@asaltech.com,1993-02-22,al-quds,73,value2,False,2
30956,qossay,2234,Salfit,Female,kgacysdzyq@asaltech.com,1991-08-24,birzeit,99,value2,True,4
30971,qossay,1992,nablus,Female,qgsixtgrdj@asaltech.com,1989-12-18,najah,84,value1,False,8
30983,qossay,1330,Jenin ,Female,qvlsgwefzi@asaltech.com,1996-11-01,birzeit,72,value1,False,1
30992,qossay,962,Bethlehem,Female,uuxvqrprza@asaltech.com,1982-07-16,najah,88,value3,True,6
31021,qossay,1375,nablus,Female,lnqumsszgs@asaltech.com,1992-08-03,birzeit,64,value2,True,3
31022,qossay,4203,Bethlehem,Female,pldslxqbpt@asaltech.com,1986-03-05,najah,89,value3,False,5
31086,qossay,1604,rawabi,Female,cnxvkfqtuo@asaltech.com,1995-07-03,al-quds,76,value3,True,3
31104,qossay,4814,Salfit,Female,buzyfhxyax@asaltech.com,1995-02-07,najah,86,value3,False,7
31106,qossay,3582,Jerusalem,Female,rdpgmzptxn@asaltech.com,2000-08-23,birzeit,93,value1,True,3
31126,qossay,3388,nablus,Female,utdgixflgo@asaltech.com,1987-09-03,birzeit,89,value3,False,3
31160,qossay,2029,hebron,Female,cwayyqoqza@asaltech.com,1998-04-21,al-quds,71,value3,False,1
31167,qossay,1886,hebron,Female,xmjpaoviqq@asaltech.com,1998-01-14,birzeit,63,value1,True,4
31216,qossay,4282,yafa,Female,kyaqiowhdc@asaltech.com,1991-04-02,al-quds,91,value3,True,2
31221,qossay,4851,rammallah,Female,emlqevrxqh@asaltech.com,1983-07-03,najah,84,value3,False,3
31233,qossay,1118,Bethlehem,Female,sqtvlewfdx@asaltech.com,1989-09-17,al-quds,90,value3,False,7
31235,qossay,4118,Jerusalem,Female,mfkzrtrjqm@asaltech.com,1998-03-21,birzeit,96,value2,False,1
31252,qossay,2258,yafa,Female,nxqjdmsuyc@asaltech.com,1986-08-13,birzeit,77,value1,True,3
31261,qossay,962,amman,Female,twoojtrzso@asaltech.com,1985-06-18,najah,82,value1,False,8
31273,qossay,1255,Salfit,Female,xetbmksttd@asaltech.com,1989-02-16,najah,78,value1,False,6
31276,qossay,1482,Salfit,Female,frgvhagwyw@asaltech.com,1991-02-11,najah,82,value2,False,1
31277,qossay,1615,amman,Female,lbhhzunyqm@asaltech.com,1994-09-03,al-quds,71,value3,True,3
31296,qossay,1168,nablus,Female,xmitgpdhym@asaltech.com,1996-09-28,najah,78,value1,False,8
31311,qossay,4537,Jenin ,Female,qlxeeqttxv@asaltech.com,1994-05-08,birzeit,99,value2,False,8
31315,qossay,1540,nablus,Female,bigujjnton@asaltech.com,1992-03-05,birzeit,67,value1,False,5
31330,qossay,4248,Bethlehem,Female,elzxdgcxdx@asaltech.com,1982-09-21,al-quds,96,value1,True,1
31432,qossay,2324,rammallah,Female,hykarabddo@asaltech.com,1987-12-23,al-quds,85,value1,True,3
31451,qossay,1411,nablus,Female,suvtdadywa@asaltech.com,1984-08-25,birzeit,72,value2,True,5
31459,qossay,1271,Jerusalem,Female,tjhektfhxg@asaltech.com,1988-06-26,najah,93,value2,False,6
31516,qossay,4488,Jerusalem,Female,elhpesfzua@asaltech.com,1985-11-25,najah,67,value1,True,5
31564,qossay,1763,rammallah,Female,rpdefodnrx@asaltech.com,1998-02-02,al-quds,66,value2,False,2
31576,qossay,1065,nablus,Female,nwkfdrlotb@asaltech.com,1992-01-01,birzeit,77,value3,True,1
31583,qossay,2598,amman,Female,orlitbqcgk@asaltech.com,2000-11-27,al-quds,78,value1,False,7
31614,qossay,2375,Jerusalem,Female,tnypurbkux@asaltech.com,1998-06-07,al-quds,81,value2,True,7
31616,qossay,2788,Salfit,Female,uheujgdika@asaltech.com,1993-02-05,birzeit,67,value3,False,5
31677,qossay,2574,Jenin ,Female,fwtihuszdm@asaltech.com,1984-09-06,al-quds,92,value1,True,6
31691,qossay,4849,Salfit,Female,oasyjgpvly@asaltech.com,2000-07-05,birzeit,66,value3,False,5
31695,qossay,3312,hebron,Female,ntxxjphkic@asaltech.com,1991-03-20,birzeit,76,value2,False,0
31701,qossay,2198,Jerusalem,Female,vabthbzzzo@asaltech.com,1981-03-23,birzeit,95,value2,False,3
31758,qossay,4348,Jenin ,Female,zulbtkgwtc@asaltech.com,1984-05-07,birzeit,97,value3,False,7
31796,qossay,984,Jenin ,Female,lgubwbmoco@asaltech.com,1981-12-28,najah,67,value2,False,8
31798,qossay,1923,Salfit,Female,mdebbhkrit@asaltech.com,1981-10-02,al-quds,65,value3,False,2
31825,qossay,2850,hebron,Female,gtxubjtrfa@asaltech.com,1998-04-09,najah,93,value2,False,9
31885,qossay,1265,Salfit,Female,pyfrovvkkn@asaltech.com,1987-10-04,al-quds,93,value2,False,4
31890,qossay,2659,Jenin ,Female,hrhgyilhxu@asaltech.com,1980-03-08,al-quds,63,value3,False,8
31896,qossay,2247,Jenin ,Female,rngtjgcnqt@asaltech.com,1981-02-14,birzeit,79,value3,False,4
31906,qossay,4221,rammallah,Female,ekquexsxvd@asaltech.com,1990-11-15,al-quds,67,value3,True,5
31911,qossay,2933,rammallah,Female,xwdrvdanve@asaltech.com,1982-07-01,al-quds,76,value2,True,1
31917,qossay,2743,hebron,Female,gdbkzafntx@asaltech.com,1986-10-26,najah,73,value1,False,6
31919,qossay,1201,Jerusalem,Female,sgcrijdijm@asaltech.com,1991-12-28,najah,68,value2,False,8
31920,qossay,2969,hebron,Female,bkvldvwxil@asaltech.com,1997-03-27,birzeit,73,value3,True,7
31922,qossay,1503,amman,Female,shrjetirjx@asaltech.com,2000-06-07,al-quds,79,value3,False,7
31980,qossay,1514,Salfit,Female,cbtvpswogh@asaltech.com,1982-12-13,al-quds,86,value1,False,3
31987,qossay,3122,Salfit,Female,nldyuvqxel@asaltech.com,1997-11-27,najah,99,value2,True,7
31991,qossay,3453,Jenin ,Female,vnksojrmbt@asaltech.com,1995-01-19,al-quds,62,value1,False,9
31993,qossay,1681,hebron,Female,mrzfllpbll@asaltech.com,1984-11-04,birzeit,65,value3,False,4
32015,qossay,899,amman,Female,mgbglrgfgz@asaltech.com,2000-11-03,najah,62,value2,True,3
32039,qossay,2133,Bethlehem,Female,hfswrfugdb@asaltech.com,2000-11-01,najah,90,value1,False,1
32040,qossay,893,Bethlehem,Female,exfjuffxnd@asaltech.com,1982-03-01,najah,78,value2,False,1
32047,qossay,2649,Bethlehem,Female,buuhjukgjn@asaltech.com,1984-05-05,najah,88,value1,False,5
32127,qossay,1610,Jenin ,Female,yeujhqqupw@asaltech.com,1980-05-06,al-quds,93,value2,True,6
32150,qossay,3993,rawabi,Female,oplvwrsjqg@asaltech.com,1987-04-11,birzeit,99,value1,True,1
32159,qossay,2185,nablus,Female,nusbgytcok@asaltech.com,1998-05-20,birzeit,82,value3,False,0
32169,qossay,1442,Salfit,Female,xnqponrosl@asaltech.com,1985-03-18,birzeit,75,value3,True,8
32187,qossay,2929,rammallah,Female,ijzlsowdwc@asaltech.com,1998-09-06,birzeit,99,value3,True,6
32193,qossay,2373,nablus,Female,idjpmovsxm@asaltech.com,1995-11-22,najah,84,value2,True,2
32202,qossay,844,rawabi,Female,ondpbkkkbr@asaltech.com,1987-03-10,najah,98,value1,False,0
32203,qossay,2665,yafa,Female,gqxzyqofha@asaltech.com,1992-12-24,al-quds,70,value2,True,4
32247,qossay,4414,hebron,Female,uemjdinyjz@asaltech.com,1998-11-07,najah,71,value1,False,7
32249,qossay,3190,rammallah,Female,waenixhpkq@asaltech.com,1981-10-13,najah,73,value1,True,3
32278,qossay,4144,Bethlehem,Female,kvduwzkkmh@asaltech.com,1999-04-18,najah,99,value2,False,8
32299,qossay,1523,rawabi,Female,hnjgpkcurw@asaltech.com,1996-03-06,birzeit,73,value2,False,6
32313,qossay,4450,Salfit,Female,zotkuvxpuy@asaltech.com,1999-06-26,al-quds,65,value2,True,6
32319,qossay,3327,nablus,Female,yuclaudulm@asaltech.com,1994-06-05,birzeit,61,value3,True,5
32365,qossay,1611,Bethlehem,Female,ylsrssqhms@asaltech.com,1980-07-06,najah,92,value1,False,6
32414,qossay,3922,Salfit,Female,zfojxdiojk@asaltech.com,1983-07-23,birzeit,75,value1,False,3
32417,qossay,3050,Salfit,Female,ldpzoapxjf@asaltech.com,1994-08-25,najah,63,value2,False,5
32434,qossay,993,Jenin ,Female,psampbslvj@asaltech.com,1993-01-01,birzeit,61,value2,False,1
32451,qossay,2610,rawabi,Female,rbsyivgywc@asaltech.com,1982-01-25,najah,90,value1,True,5
32456,qossay,838,Jerusalem,Female,swfibgdzct@asaltech.com,1999-11-25,al-quds,89,value2,True,5
32496,qossay,4877,Bethlehem,Female,lujueyzzwi@asaltech.com,1995-03-09,al-quds,69,value3,False,9
32517,qossay,1399,yafa,Female,aohfbnorsp@asaltech.com,1988-05-25,najah,61,value2,True,5
32538,qossay,4279,Salfit,Female,qemousgget@asaltech.com,1997-08-25,al-quds,60,value1,True,5
32583,qossay,1903,rammallah,Female,fazvihitwo@asaltech.com,1987-01-22,al-quds,91,value1,False,2
32589,qossay,3653,Bethlehem,Female,qduvcbydwn@asaltech.com,1998-08-09,al-quds,84,value3,True,9
32597,qossay,1992,Jerusalem,Female,binleemsje@asaltech.com,1992-02-14,al-quds,67,value2,False,4
32630,qossay,2155,yafa,Female,aaanpzzaol@asaltech.com,1980-05-02,al-quds,90,value3,False,2
32644,qossay,3955,amman,Female,zshmevbpkr@asaltech.com,1984-05-05,al-quds,79,value1,False,5
32672,qossay,4047,hebron,Female,ubglrbqymm@asaltech.com,1982-03-06,najah,97,value2,True,6
32738,qossay,2260,nablus,Female,kitdrvijqw@asaltech.com,1980-02-13,najah,95,value2,False,3
32741,qossay,2655,yafa,Female,civfewuqmq@asaltech.com,1998-10-18,birzeit,61,value2,True,8
32760,qossay,1112,Bethlehem,Female,yqxxbhpvxn@asaltech.com,1982-06-01,al-quds,78,value2,True,1
32791,qossay,1391,rammallah,Female,vubfxsebwh@asaltech.com,1988-02-25,al-quds,68,value2,False,5
32797,qossay,1039,hebron,Female,negmhhwgey@asaltech.com,1989-03-22,najah,68,value3,True,2
32822,qossay,2646,rammallah,Female,uhztzvpzow@asaltech.com,1996-05-18,najah,69,value2,True,8
32835,qossay,1555,amman,Female,ncobmlsqfz@asaltech.com,1999-03-20,najah,74,value2,False,0
32873,qossay,3530,Jenin ,Female,hcjhmxbbba@asaltech.com,1994-10-27,birzeit,94,value1,False,7
32945,qossay,1666,hebron,Female,yypyctpedc@asaltech.com,1999-01-24,najah,65,value1,False,4
32983,qossay,3289,rammallah,Female,coiftfkmwa@asaltech.com,1985-06-04,najah,72,value1,True,4
33011,qossay,885,hebron,Female,otzxfegpqi@asaltech.com,1989-06-05,al-quds,79,value3,False,5
33038,qossay,1260,Jenin ,Female,cfkvjbzrvo@asaltech.com,1984-05-20,najah,80,value2,True,0
33040,qossay,4675,rawabi,Female,hrgtdaofor@asaltech.com,1983-05-17,birzeit,70,value1,True,7
33055,qossay,4915,Jerusalem,Female,asthkbnruu@asaltech.com,1981-12-19,birzeit,64,value3,False,9
33057,qossay,4655,yafa,Female,nwqxgtpwcv@asaltech.com,1983-06-08,najah,76,value2,False,8
33058,qossay,3577,yafa,Female,qbmroapfac@asaltech.com,1993-10-10,najah,78,value1,True,0
33082,qossay,2636,rawabi,Female,izufktvwcj@asaltech.com,1999-05-04,najah,83,value2,False,4
33086,qossay,3725,Jenin ,Female,orcbdperdj@asaltech.com,1983-06-03,najah,89,value2,True,3
33091,qossay,1478,Jenin ,Female,xndbrxphzq@asaltech.com,1989-12-17,al-quds,77,value2,False,7
33108,qossay,2260,yafa,Female,kcjsmgicxh@asaltech.com,1987-09-14,birzeit,65,value3,True,4
33137,qossay,1360,amman,Female,rkxpdzbylw@asaltech.com,1997-06-27,al-quds,63,value1,True,7
33145,qossay,1691,Jenin ,Female,uhvhfttuuq@asaltech.com,1982-07-17,najah,96,value3,False,7
33161,qossay,1062,rammallah,Female,shfmfbmxwn@asaltech.com,1986-03-09,birzeit,84,value2,False,9
33165,qossay,3418,Bethlehem,Female,gvncflcjfx@asaltech.com,1982-05-25,al-quds,99,value2,False,5
33171,qossay,1847,Jenin ,Female,rdauefuzbb@asaltech.com,1987-06-23,al-quds,80,value3,False,3
33192,qossay,3160,Bethlehem,Female,jylpgiurwq@asaltech.com,1982-11-23,najah,85,value2,False,3
33196,qossay,4890,Salfit,Female,etrpypbbia@asaltech.com,1985-02-15,al-quds,82,value2,True,5
33197,qossay,4036,amman,Female,mwhqvqdsyg@asaltech.com,1997-04-25,al-quds,96,value3,True,5
33199,qossay,1588,Salfit,Female,ypcqkfickt@asaltech.com,2000-06-23,najah,75,value1,True,3
33209,qossay,4636,nablus,Female,ugkwknmfyc@asaltech.com,1989-12-20,najah,83,value1,False,0
33211,qossay,1859,Jerusalem,Female,xshezxmfbf@asaltech.com,1984-08-21,birzeit,77,value1,False,1
33223,qossay,3846,hebron,Female,gyyjjqxjpe@asaltech.com,1988-02-02,najah,80,value3,False,2
33254,qossay,1968,Bethlehem,Female,yapgcswjpp@asaltech.com,1995-02-05,al-quds,82,value1,True,5
33267,qossay,4563,yafa,Female,mhbmtepvll@asaltech.com,1982-02-23,najah,90,value1,False,3
33275,qossay,4221,amman,Female,zacklcrvji@asaltech.com,1985-10-18,al-quds,63,value2,False,8
33283,qossay,2037,Bethlehem,Female,iowqjlfngq@asaltech.com,1980-10-20,al-quds,69,value3,True,0
33291,qossay,1157,hebron,Female,rzceyndhzh@asaltech.com,1995-06-18,najah,93,value2,False,8
33302,qossay,4466,Bethlehem,Female,ryyvzguwim@asaltech.com,1991-07-24,najah,88,value3,True,4
33351,qossay,1438,Bethlehem,Female,psgxitpnbr@asaltech.com,1984-04-16,al-quds,88,value1,True,6
33384,qossay,2916,Salfit,Female,nnmomocknf@asaltech.com,1986-04-09,al-quds,63,value1,True,9
33422,qossay,3545,Salfit,Female,doojodbwbj@asaltech.com,1980-05-02,najah,97,value2,False,2
33447,qossay,3114,rawabi,Female,mlvwnwfvol@asaltech.com,1980-06-04,najah,62,value1,True,4
33470,qossay,4373,amman,Female,xzgkeqoong@asaltech.com,1984-02-15,birzeit,90,value2,True,5
33473,qossay,1578,amman,Female,fzxwkbcckz@asaltech.com,1995-07-26,al-quds,98,value1,False,6
33489,qossay,3366,rammallah,Female,yulqsfrnxq@asaltech.com,1985-01-03,al-quds,78,value3,True,3
33524,qossay,3760,Jerusalem,Female,arhegorbtk@asaltech.com,1992-08-20,birzeit,89,value3,False,0
33531,qossay,861,amman,Female,rlrmwejtae@asaltech.com,1997-08-23,birzeit,80,value3,False,3
33538,qossay,2428,amman,Female,hxbzyootsb@asaltech.com,1984-06-10,al-quds,72,value2,True,0
33541,qossay,2632,yafa,Female,wfidcctjwf@asaltech.com,1993-07-07,najah,99,value1,False,7
33579,qossay,3575,Jerusalem,Female,iguokshqbw@asaltech.com,1992-06-19,najah,62,value3,True,9
33656,qossay,2564,nablus,Female,vvonpltlgz@asaltech.com,1984-08-24,birzeit,70,value2,True,4
33663,qossay,2566,Jenin ,Female,yfcbtdrgsq@asaltech.com,1994-04-09,birzeit,83,value2,True,9
33684,qossay,2939,Bethlehem,Female,vigapzbzvl@asaltech.com,1986-05-13,al-quds,64,value2,True,3
33688,qossay,4421,Salfit,Female,wuhbrtwywq@asaltech.com,1998-08-12,birzeit,69,value2,True,2
33692,qossay,2658,rammallah,Female,pthqkchbgj@asaltech.com,1989-09-01,najah,90,value1,True,1
33699,qossay,2822,Jenin ,Female,orizmqlkke@asaltech.com,1983-03-24,al-quds,89,value3,True,4
33710,qossay,3468,Bethlehem,Female,grxupqeoxk@asaltech.com,1987-09-19,birzeit,87,value3,True,9
33717,qossay,3829,hebron,Female,aboigvdjsn@asaltech.com,1999-11-24,birzeit,92,value3,False,4
33753,qossay,2635,Bethlehem,Female,tpzwkzfice@asaltech.com,1990-01-11,najah,93,value2,False,1
33757,qossay,2246,rammallah,Female,vjljvwcspv@asaltech.com,1990-09-01,birzeit,84,value1,False,1
33765,qossay,2747,nablus,Female,coqsixhqwo@asaltech.com,1999-01-12,najah,73,value3,False,2
33785,qossay,1800,rammallah,Female,oomohcetib@asaltech.com,1980-02-03,birzeit,63,value1,False,3
33795,qossay,3745,Salfit,Female,nslgpawxev@asaltech.com,1997-08-23,birzeit,97,value3,True,3
33798,qossay,4482,hebron,Female,ttzemahvuc@asaltech.com,1985-12-10,birzeit,67,value2,False,0
33799,qossay,1986,amman,Female,jssliqczgd@asaltech.com,1991-01-12,al-quds,80,value1,False,2
33814,qossay,3192,Jenin ,Female,tuybxevjff@asaltech.com,1993-05-13,birzeit,82,value2,True,3
33826,qossay,3542,Salfit,Female,ppwxvuxhhq@asaltech.com,1988-10-27,birzeit,60,value3,False,7
33856,qossay,1378,nablus,Female,fwzyhxtdzj@asaltech.com,1994-01-06,najah,90,value2,False,6
33863,qossay,4125,nablus,Female,guldoguurj@asaltech.com,1995-03-06,birzeit,61,value2,False,6
33878,qossay,2668,Bethlehem,Female,maevzzzmgt@asaltech.com,1982-10-04,najah,80,value1,True,4
33929,qossay,4631,yafa,Female,txcyrqnwvh@asaltech.com,1999-02-24,birzeit,93,value2,True,4
33959,qossay,1221,amman,Female,khgoyfckpj@asaltech.com,1997-07-12,al-quds,79,value3,True,2
33971,qossay,1339,amman,Female,xusdgcwpoq@asaltech.com,1999-04-02,birzeit,73,value1,False,2
33994,qossay,1670,Jenin ,Female,ioymccgoic@asaltech.com,1981-03-18,birzeit,69,value3,False,8
34008,qossay,4807,yafa,Female,jprjkazsgo@asaltech.com,1982-05-08,najah,63,value1,False,8
34039,qossay,3398,Salfit,Female,yilrxsjdmi@asaltech.com,1999-09-25,najah,95,value2,True,5
34054,qossay,2707,Bethlehem,Female,wiqypaxrpy@asaltech.com,1986-04-03,najah,65,value1,True,3
34067,qossay,3343,rammallah,Female,enltwvthpi@asaltech.com,1995-05-09,al-quds,82,value3,True,9
34074,qossay,4696,rammallah,Female,spsknawrwg@asaltech.com,1984-02-22,birzeit,71,value3,False,2
34077,qossay,3131,yafa,Female,mpdilzzjst@asaltech.com,1991-12-15,al-quds,98,value2,False,5
34078,qossay,4270,yafa,Female,gtvfwnaxkt@asaltech.com,1999-11-15,najah,82,value1,False,5
34083,qossay,1786,amman,Female,xqqhbxwjlm@asaltech.com,1984-09-03,birzeit,99,value3,True,3
34088,qossay,1039,Jerusalem,Female,cxsqunsxmh@asaltech.com,1992-07-27,al-quds,65,value3,False,7
34113,qossay,1969,hebron,Female,rngfcssccv@asaltech.com,1986-09-14,al-quds,64,value3,True,4
34143,qossay,1914,rammallah,Female,puedicogdb@asaltech.com,1987-03-16,birzeit,69,value2,True,6
34149,qossay,1863,nablus,Female,hpzvqivdax@asaltech.com,1981-11-09,al-quds,95,value3,True,9
34155,qossay,4565,amman,Female,ifzfvxdcgf@asaltech.com,1992-05-02,birzeit,77,value2,False,2
34166,qossay,1411,rammallah,Female,uizgwrpgnh@asaltech.com,1991-08-22,birzeit,74,value2,False,2
34189,qossay,4290,yafa,Female,ibyllptcyr@asaltech.com,1982-11-04,al-quds,71,value1,True,4
34209,qossay,4846,rammallah,Female,jnqnfrtogz@asaltech.com,1996-06-20,al-quds,72,value3,True,0
34223,qossay,4204,Salfit,Female,fluhxrmduf@asaltech.com,1989-05-07,al-quds,87,value1,False,7
34231,qossay,1605,Jenin ,Female,wtxxdkoqjz@asaltech.com,1988-03-07,najah,89,value1,True,7
34238,qossay,4085,amman,Female,qruhpiqwvk@asaltech.com,1994-02-01,birzeit,65,value2,False,1
34258,qossay,4575,yafa,Female,ydjdbnphmg@asaltech.com,1992-05-07,al-quds,78,value1,True,7
34288,qossay,2390,Bethlehem,Female,ftukvcolec@asaltech.com,1990-12-06,birzeit,76,value1,True,6
34296,qossay,3818,nablus,Female,gsjfnjueeu@asaltech.com,1980-08-23,al-quds,78,value1,False,3
34302,qossay,1094,Jerusalem,Female,icofdmzofu@asaltech.com,1999-05-10,najah,81,value3,False,0
34319,qossay,1630,Jenin ,Female,ptowochyur@asaltech.com,1989-06-28,birzeit,70,value3,True,8
34327,qossay,2571,hebron,Female,kccslrsxqe@asaltech.com,1985-06-27,najah,84,value3,True,7
34330,qossay,1684,yafa,Female,fylakesaic@asaltech.com,1982-05-18,najah,73,value3,False,8
34369,qossay,3098,rawabi,Female,crvbonkvmk@asaltech.com,1984-07-09,najah,66,value3,True,9
